,district,elevation,Area,lat,lng,Year,Disaster Internal Displacements,Hazard Type,total_precip,drought_index,total solar,heavy rain,storm days,extreme temp,severerisk,low_pressure_days,pressure_anomaly,Country / Territory,population,Count of Disasters,pdensity,distancetowater,distancetowater1,distancetowater2,Country Code,gdp
80,mbarara,1450,1241594350.0,-0.6133,30.6583,2022,230,Mass Movement,1297.5,75.0,7080.1,213.0,0.0,0.0,0.0,0.0,187.0,Uganda,532646.1303901996,11,429.0017350596027,30886.63272,31700.68099,34637.28552,UGA,45565333216.4142
81,mbarara,1450,1241594350.0,-0.6133,30.6583,2022,6,Storm,1297.5,75.0,7080.1,213.0,0.0,0.0,0.0,0.0,187.0,Uganda,532646.1303901996,11,429.0017350596027,30886.63272,31700.68099,34637.28552,UGA,45565333216.4142
82,mbarara,1450,1241594350.0,-0.6133,30.6583,2023,1200,Flood,974.8,88.0,6999.5,189.0,0.0,0.0,2.0,0.0,184.0,Uganda,548838.5727540617,1,442.0433878054146,30886.63272,31700.68099,34637.28552,UGA,49272882213.623
83,nakasongola,1092,3511046719.0,1.315,32.465,2020,1000,Flood,1412.0,61.0,7054.8,218.0,0.0,0.0,0.0,0.0,189.0,Uganda,275588.197691798,3,78.49174897060034,30977.70811,37775.44157,43066.57039,UGA,37600368239.8824
84,nakasongola,1092,3511046719.0,1.315,32.465,2020,720,Flood,1412.0,61.0,7054.8,218.0,0.0,0.0,0.0,0.0,189.0,Uganda,275588.197691798,3,78.49174897060034,30977.70811,37775.44157,43066.57039,UGA,37600368239.8824
85,nakasongola,1092,3511046719.0,1.315,32.465,2020,2175,Flood,1412.0,61.0,7054.8,218.0,0.0,0.0,0.0,0.0,189.0,Uganda,275588.197691798,3,78.49174897060034,30977.70811,37775.44157,43066.57039,UGA,37600368239.8824
86,mubende,1317,2711410311.0,0.5575,31.395,2023,870,Storm,1019.9,92.0,6363.1,170.0,0.0,6.0,29.0,0.0,184.0,Uganda,727841.3712655368,1,268.4364547529881,115985.7468,128114.9627,134628.727,UGA,49272882213.623
87,kaberamaido,1088,887469935.7,1.7667,33.1522,2020,240,Flood,1334.3,74.0,7526.8,203.0,0.0,0.0,0.0,0.0,185.0,Uganda,166961.808365583,1,188.13235429084185,33467.27189,48418.52106,49953.78701,UGA,37600368239.8824
88,soroti,1132,1416244496.0,1.715,33.6111,2018,200,Storm,1982.1,81.0,7440.5,236.0,0.0,14.0,0.0,0.0,177.0,Uganda,433457.052466035,1,306.0608911033925,17602.37256,17772.15564,18801.60245,UGA,32927025619.6795
89,wakiso,1196,2808865557.0,0.3981,32.4781,2023,5,Storm,1294.7,124.0,6832.8,118.0,2.0,0.0,28.0,0.0,180.0,Uganda,4163891.4237147486,1,1482.4103678931433,69954.64448,77428.99908,85656.76024,UGA,49272882213.623
90,amolatar,1061,1795916163.0,1.6517,32.825,2020,2175,Flood,1562.7,73.0,7345.3,205.0,0.0,0.0,0.0,0.0,191.0,Uganda,230701.67447722,1,128.4590445980746,20885.80003,26555.10584,27012.42877,UGA,37600368239.8824
91,amolatar,1061,1795916163.0,1.6517,32.825,2023,5,Storm,1171.4,89.0,8229.1,194.0,0.0,12.0,5.0,0.0,183.0,Uganda,252387.7644078854,2,140.5342685853902,20885.80003,26555.10584,27012.42877,UGA,49272882213.623
92,amolatar,1061,1795916163.0,1.6517,32.825,2023,280,Flood,1171.4,89.0,8229.1,194.0,0.0,12.0,5.0,0.0,183.0,Uganda,252387.7644078854,2,140.5342685853902,20885.80003,26555.10584,27012.42877,UGA,49272882213.623
93,lamwo,1081,5444468333.0,3.53,32.8,2017,70,Wildfire,1444.6,145.0,7838.5,162.0,0.0,90.0,0.0,0.0,180.0,Uganda,174110.710170269,1,31.97937787881868,129960.2524,157730.8847,175366.1172,UGA,30744473841.424
94,rukungiri,1638,1529257683.0,-0.79,29.925,2023,49,Storm,1279.2,81.0,6860.8,203.0,0.0,0.0,19.0,0.0,180.0,Uganda,475923.2269032752,1,311.2119247095358,17587.87533,20523.98512,26395.5645,UGA,49272882213.623
95,pakwach,642,1038539325.0,2.4619,31.4983,2020,2700,Flood,1396.6,81.0,7188.0,233.0,0.0,3.0,0.0,0.0,195.0,Uganda,226554.735025048,1,218.14747845494247,1607.361951,23519.32885,23906.90257,UGA,37600368239.8824
96,amuru,1104,3589823510.0,2.8186,31.8642,2017,90000,Flood,1478.8,120.0,7563.3,191.0,0.0,70.0,0.0,0.0,172.0,Uganda,257957.152210236,1,71.85789259323114,49948.11306,52266.8504,58247.86473,UGA,30744473841.424
97,amuru,1104,3589823510.0,2.8186,31.8642,2023,3600,Flood,1188.6,95.0,7637.2,190.0,1.0,42.0,80.0,0.0,171.0,Uganda,308583.4034810892,2,85.96060575721427,49948.11306,52266.8504,58247.86473,UGA,49272882213.623
98,amuru,1104,3589823510.0,2.8186,31.8642,2023,170,Storm,1188.6,95.0,7637.2,190.0,1.0,42.0,80.0,0.0,171.0,Uganda,308583.4034810892,2,85.96060575721427,49948.11306,52266.8504,58247.86473,UGA,49272882213.623
99,kanungu,1621,1325297168.0,-0.8969,29.7756,2023,35,Storm,1574.8,59.0,6127.5,233.0,0.0,0.0,6.0,0.0,187.0,Uganda,382153.0302280006,3,288.35271021117927,9053.880619,23098.11717,36258.65719,UGA,49272882213.623
100,kanungu,1621,1325297168.0,-0.8969,29.7756,2023,3,Storm,1574.8,59.0,6127.5,233.0,0.0,0.0,6.0,0.0,187.0,Uganda,382153.0302280006,3,288.35271021117927,9053.880619,23098.11717,36258.65719,UGA,49272882213.623
101,kanungu,1621,1325297168.0,-0.8969,29.7756,2023,7,Storm,1574.8,59.0,6127.5,233.0,0.0,0.0,6.0,0.0,187.0,Uganda,382153.0302280006,3,288.35271021117927,9053.880619,23098.11717,36258.65719,UGA,49272882213.623
102,zombo,1601,890465999.0,2.5131,30.9081,2023,2,Storm,1570.0,80.0,8332.5,223.0,0.0,0.0,7.0,0.0,191.0,Uganda,380573.4671242068,2,427.3868598594373,61642.55793,65091.51104,69946.23924,UGA,49272882213.623
103,zombo,1601,890465999.0,2.5131,30.9081,2023,2,Storm,1570.0,80.0,8332.5,223.0,0.0,0.0,7.0,0.0,191.0,Uganda,380573.4671242068,2,427.3868598594373,61642.55793,65091.51104,69946.23924,UGA,49272882213.623
104,jinja,1189,724429655.7,0.4233,33.2039,2014,1500,Storm,1593.3,41.0,7023.3,258.0,2.0,0.0,0.0,0.0,0.0,Uganda,581708.661130905,1,802.9884703833847,6395.720383,22145.94888,70762.73121,UGA,32612397257.4458
105,jinja,1189,724429655.7,0.4233,33.2039,2021,15000,Flood,1639.1,87.0,6992.9,208.0,0.0,0.0,0.0,0.0,189.0,Uganda,676140.9700953522,10,933.3424781485684,6395.720383,22145.94888,70762.73121,UGA,40529788744.0595
106,jinja,1189,724429655.7,0.4233,33.2039,2021,780,Flood,1639.1,87.0,6992.9,208.0,0.0,0.0,0.0,0.0,189.0,Uganda,676140.9700953522,10,933.3424781485684,6395.720383,22145.94888,70762.73121,UGA,40529788744.0595
107,jinja,1189,724429655.7,0.4233,33.2039,2021,2,Storm,1639.1,87.0,6992.9,208.0,0.0,0.0,0.0,0.0,189.0,Uganda,676140.9700953522,10,933.3424781485684,6395.720383,22145.94888,70762.73121,UGA,40529788744.0595
108,jinja,1189,724429655.7,0.4233,33.2039,2021,510,Storm,1639.1,87.0,6992.9,208.0,0.0,0.0,0.0,0.0,189.0,Uganda,676140.9700953522,10,933.3424781485684,6395.720383,22145.94888,70762.73121,UGA,40529788744.0595
109,jinja,1189,724429655.7,0.4233,33.2039,2021,930,Storm,1639.1,87.0,6992.9,208.0,0.0,0.0,0.0,0.0,189.0,Uganda,676140.9700953522,10,933.3424781485684,6395.720383,22145.94888,70762.73121,UGA,40529788744.0595
110,jinja,1189,724429655.7,0.4233,33.2039,2021,36,Storm,1639.1,87.0,6992.9,208.0,0.0,0.0,0.0,0.0,189.0,Uganda,676140.9700953522,10,933.3424781485684,6395.720383,22145.94888,70762.73121,UGA,40529788744.0595
111,jinja,1189,724429655.7,0.4233,33.2039,2021,600,Mass Movement,1639.1,87.0,6992.9,208.0,0.0,0.0,0.0,0.0,189.0,Uganda,676140.9700953522,10,933.3424781485684,6395.720383,22145.94888,70762.73121,UGA,40529788744.0595
112,jinja,1189,724429655.7,0.4233,33.2039,2021,140,Storm,1639.1,87.0,6992.9,208.0,0.0,0.0,0.0,0.0,189.0,Uganda,676140.9700953522,10,933.3424781485684,6395.720383,22145.94888,70762.73121,UGA,40529788744.0595
113,jinja,1189,724429655.7,0.4233,33.2039,2021,870,Mass Movement,1639.1,87.0,6992.9,208.0,0.0,0.0,0.0,0.0,189.0,Uganda,676140.9700953522,10,933.3424781485684,6395.720383,22145.94888,70762.73121,UGA,40529788744.0595
114,jinja,1189,724429655.7,0.4233,33.2039,2021,5200,Flood,1639.1,87.0,6992.9,208.0,0.0,0.0,0.0,0.0,189.0,Uganda,676140.9700953522,10,933.3424781485684,6395.720383,22145.94888,70762.73121,UGA,40529788744.0595
115,jinja,1189,724429655.7,0.4233,33.2039,2022,10000,Flood,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
116,jinja,1189,724429655.7,0.4233,33.2039,2022,460,Storm,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
117,jinja,1189,724429655.7,0.4233,33.2039,2022,890,Storm,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
